BASC	DC_C18	Mast_C17	Ciliated.cells-C7	Fibroblasts-C6	Prolifirating.Mac_C16	CD8_C15	Clara-C5	Endothelial.cells-C4	GaDelT_C14	B.cells_C13	Plasma.cells_C12	Clara-C3	AT2-C2	Mac.DC_C11	CD4_C10	Plasma.cells_C9	AT2-C1	AT2-C0	Mac_C8	CD4_C7	CD4_C6	Neutrophil_C5	NK.cells_C4	Mono_C3	B.cells_C2	CD8_C1	CD8_C0
AL627309.1	0.0340369897007633	0	0	0.0500469364705655	0	0	0	0.138141248069918	0	0	0	0	0	0.0330825674871297	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL627309.5	0.0778464880748755	0	0	0.107323579941718	0	0.0636710729126673	0	0.0966343712605761	0	0	0	0	0.11333018832282	0.130477014048157	0	0	0	0	0.100403791504464	0.0683158103056755	0	0	0	0	0.0347946050655171	0	0	0
LINC01409	0.158945564360955	0	0	0	0	0.139298607340857	0	0	0	0.0539569887423323	0	0	0.103142308108379	0.181821667549732	0	0	0	0	0.127057255864456	0	0	0	0	0	0	0	0	0
LINC01128	0	0.22250458655221	0.0613346688160026	0	0	0.208200747088786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173568474008312	0	0.108055897315584	0	0	0
LINC00115	0	0.037999387140883	0	0.041530630297429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0376435525950347	0	0	0
SAMD11	0	0	0	0	0.119260967063287	0	0	0	0	0	0	0	0	0.142817694972369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOC2L	0	0.120218013665701	0	0	0	0.154649137255994	0	0.0303268232501575	0	0	0	0	0.16720142020501	0.195579230910513	0	0	0	0	0.190248868483541	0	0	0	0	0	0	0	0	0
KLHL17	0.0521404555951573	0	0	0	0	0	0	0	0	0	0	0	0.0633494655965679	0	0	0	0	0	0.0429907459294914	0	0	0	0	0	0	0	0	0
PLEKHN1	0	0	0	0	0	0	0	0.0446365884707139	0	0	0	0	0.180349681933822	0.0977685787081615	0	0	0.0468578878313249	0	0.217809969844351	0	0	0	0	0	0	0	0	0
AL645608.7	0.0705388741417219	0	0	0	0.0329227270471085	0.0472992536107211	0	0	0	0	0	0	0	0	0	0	0	0	0.055518528983724	0	0	0	0.0376175911608916	0	0.0504154285675175	0	0	0
HES4	0	0	0	0	0.129678534910039	0	0	0	0.0307503192039088	0	0	0	0.0653865161466957	0.172800110601839	0	0	0	0	0.268151371666107	0	0	0	0.206052067997412	0	0.178336895118078	0	0	0
ISG15	0	0.0641158102132559	0	0	0	0.194869322182928	0	0	0	0.0731350950825128	0	0	0.0627683899438394	0.33871403194074	0.0702754367187289	0	0	0	0.11531643663858	0.284020182727043	0	0	0	0	0.194690698489818	0	0	0
AGRN	0.174941991596482	0	0	0	0	0.047034974251408	0	0.157734683068561	0	0	0	0	0.475938358173028	0.266569586778176	0.0436399183959495	0	0	0.0738720087364614	0.372115913956251	0	0	0	0	0	0	0	0	0
RNF223	0.104565963080518	0	0	0.0455692271394842	0	0	0	0	0	0	0	0	0	0.0584321220503842	0	0	0	0	0.119207063943801	0	0	0	0	0	0	0	0	0
C1orf159	0.292378424252375	0.0557365251392808	0	0.188972744110679	0.0354801011989011	0.260285217250039	0	0	0	0	0	0	0.352921435014163	0.125541190151142	0	0	0	0	0.243544818661471	0	0	0	0	0	0	0	0	0
AL390719.2	0	0	0	0.0975392026952026	0	0	0	0	0	0	0	0	0.206357596979406	0.134439037437528	0	0	0	0	0.120157427110829	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	0.640336995664108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF18	0	0	0.236830928283557	0	0	0	0	0	0	0.179501096415622	0	0	0	0	0	0.260269049469732	0	0	0	0	0.379226932861968	0	0	0.125757864093055	0	0	0.0903595251992193	0
TNFRSF4	0	0	0.0852341669864395	0	0	0	0	0	0	0	0	0	0	0	0	0.227388367292433	0	0	0	0	0.387195010320819	0.100334836930772	0	0	0	0	0	0
SDF4	0	0.043691454935914	0	0	0	0.343689917277932	0	0	0	0	0	0	0.0434763927398513	0.193294695816833	0	0	0	0	0.183056830830628	0.0969770645428541	0	0	0	0	0.094284317064363	0	0	0
B3GALT6	0	0	0	0	0	0	0	0	0	0	0	0	0.0383129463540669	0.0807127181127186	0	0	0	0	0.0490654550525464	0	0	0	0	0	0.0341471323740381	0	0	0
UBE2J2	0.1064582364951	0	0	0	0	0.263231821378411	0	0.0932522320921511	0	0	0	0	0.203341291795302	0.153874030123891	0	0	0	0	0.280816622150101	0.0336293878750078	0	0	0	0	0	0	0	0
LINC01786	0.104967762592572	0	0	0	0	0	0	0	0	0	0	0	0.0523732403217077	0	0	0	0	0	0.0394409334743147	0	0	0	0	0	0	0	0	0
SCNN1D	0.182277493963784	0	0	0	0	0	0	0	0	0	0	0	0.0484838226955484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP3	0.120869323431452	0	0	0	0.129387907949736	0.236797133742485	0	0	0	0	0	0	0.168921601500409	0	0	0	0.131602249059108	0	0.082047312480942	0	0	0	0	0	0	0	0	0
PUSL1	0	0	0	0	0	0.0506676025751481	0	0	0	0	0	0	0.0723244085252641	0	0	0	0	0	0.0986180371324529	0.0336415135965464	0	0	0	0	0	0	0	0
INTS11	0	0	0	0	0	0.155889287441777	0	0.0655537594556675	0	0	0	0	0.160265731206401	0.114380954582929	0	0	0	0	0.255473429720125	0	0	0	0	0	0	0	0	0
CPTP	0	0	0	0	0	0.0536644344784936	0	0.0501490790583444	0	0	0	0	0.0352795787530431	0	0	0	0.0498143124329757	0	0.0867517188622063	0.0330116923785536	0	0	0	0	0	0	0	0
DVL1	0	0	0	0	0	0.0342130289336717	0	0	0.034893476679609	0	0	0	0.167231140861941	0.0744644688955989	0	0	0	0	0.149837311732141	0	0	0	0	0	0	0	0	0
MXRA8	0	0	0	0	0.370003432609924	0	0	0	0	0	0	0	0.275678527934063	0	0.0614913447814297	0	0	0	0.264553956465472	0	0	0	0	0	0	0	0	0
AURKAIP1	0.104235156084327	0.0374272002457744	0	0.0844487353161788	0	0.29650120091078	0	0.0560619599846514	0	0.0492280496918643	0	0	0.133326160852542	0.200993952043858	0.048932077990628	0	0.0750647336413909	0	0.22596825211004	0.0985327935768182	0	0	0	0	0	0	0	0
CCNL2	0.262802041210433	0	0	0.161212076521951	0.241183103293261	0.106026608377783	0	0.286303532142025	0.203285526698526	0	0	0	0.507290228858669	0.560941176536956	0	0	0	0	0.62354074537354	0	0	0	0	0	0	0	0	0
MRPL20-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047348419540772	0	0	0	0	0	0	0	0	0
MRPL20	0	0.141869664346349	0	0	0	0.314373770388038	0	0.0873714026479247	0	0	0	0	0.190312552530133	0.120154654659678	0.0637913780165878	0	0	0	0.26396328310525	0.109534928013258	0	0	0	0	0.0554956668851145	0	0	0
